,date,name,scaled,unscaled
0,2020-01-01,netflix,81.0,100
1,2020-01-02,netflix,68.08,92
2,2020-01-03,netflix,51.2,80
3,2020-01-04,netflix,63.36,88
4,2020-01-05,netflix,61.599999999999994,88
5,2020-01-06,netflix,42.339999999999996,73
6,2020-01-07,netflix,32.13,63
7,2020-01-08,netflix,26.220000000000002,57
8,2020-01-09,netflix,27.259999999999998,58
9,2020-01-10,netflix,28.32,59
10,2020-01-11,netflix,43.66,74
11,2020-01-12,netflix,46.97,77
12,2020-01-13,netflix,26.68,58
13,2020-01-14,netflix,21.84,52
14,2020-01-15,netflix,25.76,56
15,2020-01-16,netflix,26.220000000000002,57
16,2020-01-17,netflix,29.89,61
17,2020-01-18,netflix,55.61000000000001,83
18,2020-01-19,netflix,53.46,81
19,2020-01-20,netflix,45.0,75
20,2020-01-21,netflix,31.0,62
21,2020-01-22,netflix,25.650000000000002,57
22,2020-01-23,netflix,25.2,56
23,2020-01-24,netflix,26.79,57
24,2020-01-25,netflix,45.0,75
25,2020-01-26,netflix,40.47,71
26,2020-01-27,netflix,20.400000000000002,51
27,2020-01-28,netflix,18.62,49
28,2020-01-29,netflix,18.72,48
29,2020-01-30,netflix,18.72,48
30,2020-01-31,netflix,23.76,54
31,2020-02-01,netflix,55.459999999999994,94
32,2020-02-02,netflix,54.519999999999996,94
33,2020-02-03,netflix,22.2,60
34,2020-02-04,netflix,25.35,65
35,2020-02-05,netflix,24.57,63
36,2020-02-06,netflix,25.200000000000003,63
37,2020-02-07,netflix,33.120000000000005,72
38,2020-02-08,netflix,49.50000000000001,90
39,2020-02-09,netflix,62.0,100
40,2020-02-10,netflix,33.58,73
41,2020-02-11,netflix,24.57,63
42,2020-02-12,netflix,24.18,62
43,2020-02-13,netflix,23.18,61
44,2020-02-14,netflix,30.099999999999998,70
45,2020-02-15,netflix,49.84,89
46,2020-02-16,netflix,57.0,95
47,2020-02-17,netflix,40.0,80
48,2020-02-18,netflix,25.200000000000003,63
49,2020-02-19,netflix,22.57,61
50,2020-02-20,netflix,21.83,59
51,2020-02-21,netflix,25.6,64
52,2020-02-22,netflix,39.69,81
53,2020-02-23,netflix,50.050000000000004,91
54,2020-02-24,netflix,26.65,65
55,2020-02-25,netflix,23.18,61
56,2020-02-26,netflix,21.83,59
57,2020-02-27,netflix,25.740000000000002,66
58,2020-02-28,netflix,29.24,68
59,2020-02-29,netflix,43.99,83
60,2020-03-01,netflix,33.64,58
61,2020-03-02,netflix,18.49,43
62,2020-03-03,netflix,14.44,38
63,2020-03-04,netflix,12.959999999999999,36
64,2020-03-05,netflix,13.69,37
65,2020-03-06,netflix,16.81,41
66,2020-03-07,netflix,26.52,52
67,2020-03-08,netflix,29.700000000000003,54
68,2020-03-09,netflix,16.400000000000002,41
69,2020-03-10,netflix,14.06,37
70,2020-03-11,netflix,14.06,37
71,2020-03-12,netflix,14.06,38
72,2020-03-13,netflix,20.7,45
73,2020-03-14,netflix,44.89,67
74,2020-03-15,netflix,49.699999999999996,71
75,2020-03-16,netflix,29.700000000000003,55
76,2020-03-17,netflix,35.4,60
77,2020-03-18,netflix,46.919999999999995,68
78,2020-03-19,netflix,51.839999999999996,72
79,2020-03-20,netflix,52.56,72
80,2020-03-21,netflix,87.42,94
81,2020-03-22,netflix,100.0,100
82,2020-03-23,netflix,53.28,74
83,2020-03-24,netflix,53.29,73
84,2020-03-25,netflix,48.3,69
85,2020-03-26,netflix,47.61,69
86,2020-03-27,netflix,51.12,71
87,2020-03-28,netflix,98.0,100
88,2020-03-29,netflix,95.06,97
89,2020-03-30,netflix,50.41,71
90,2020-03-31,netflix,49.699999999999996,70
91,2020-04-01,netflix,51.74999999999999,75
92,2020-04-02,netflix,49.64,73
93,2020-04-03,netflix,55.379999999999995,78
94,2020-04-04,netflix,83.52,96
95,2020-04-05,netflix,90.09,99
96,2020-04-06,netflix,44.160000000000004,69
97,2020-04-07,netflix,40.26,66
98,2020-04-08,netflix,40.199999999999996,67
99,2020-04-09,netflix,42.78,69
100,2020-04-10,netflix,52.5,75
101,2020-04-11,netflix,71.28,88
102,2020-04-12,netflix,74.7,90
103,2020-04-13,netflix,44.800000000000004,70
104,2020-04-14,netflix,37.12,64
105,2020-04-15,netflix,34.720000000000006,62
106,2020-04-16,netflix,38.35,65
107,2020-04-17,netflix,46.15,71
108,2020-04-18,netflix,79.05,93
109,2020-04-19,netflix,89.0,100
110,2020-04-20,netflix,59.2,80
111,2020-04-21,netflix,52.5,75
112,2020-04-22,netflix,50.32,74
113,2020-04-23,netflix,48.84,74
114,2020-04-24,netflix,48.18,73
115,2020-04-25,netflix,72.9,90
116,2020-04-26,netflix,77.28,92
117,2020-04-27,netflix,42.78,69
118,2020-04-28,netflix,38.35,65
119,2020-04-29,netflix,37.76,64
120,2020-04-30,netflix,38.94,66
121,2020-05-01,netflix,48.51,77
122,2020-05-02,netflix,72.38,94
123,2020-05-03,netflix,81.0,100
124,2020-05-04,netflix,43.8,73
125,2020-05-05,netflix,39.2,70
126,2020-05-06,netflix,43.8,73
127,2020-05-07,netflix,38.64,69
128,2020-05-08,netflix,43.8,73
129,2020-05-09,netflix,59.49999999999999,85
130,2020-05-10,netflix,60.349999999999994,85
131,2020-05-11,netflix,37.400000000000006,68
132,2020-05-12,netflix,35.64,66
133,2020-05-13,netflix,34.45,65
134,2020-05-14,netflix,34.56,64
135,2020-05-15,netflix,37.400000000000006,68
136,2020-05-16,netflix,53.300000000000004,82
137,2020-05-17,netflix,57.120000000000005,84
138,2020-05-18,netflix,35.510000000000005,67
139,2020-05-19,netflix,33.28,64
140,2020-05-20,netflix,33.28,64
141,2020-05-21,netflix,33.28,64
142,2020-05-22,netflix,36.85,67
143,2020-05-23,netflix,54.940000000000005,82
144,2020-05-24,netflix,57.800000000000004,85
0,2020-01-01,nike,56.28,84
1,2020-01-02,nike,69.16,91
2,2020-01-03,nike,67.89,93
3,2020-01-04,nike,68.82,93
4,2020-01-05,nike,69.75,93
5,2020-01-06,nike,59.339999999999996,86
6,2020-01-07,nike,54.120000000000005,82
7,2020-01-08,nike,47.88,76
8,2020-01-09,nike,52.65,81
9,2020-01-10,nike,66.42999999999999,91
10,2020-01-11,nike,64.97,89
11,2020-01-12,nike,81.0,100
12,2020-01-13,nike,50.7,78
13,2020-01-14,nike,49.14,78
14,2020-01-15,nike,49.92,78
15,2020-01-16,nike,78.21000000000001,99
16,2020-01-17,nike,48.64,76
17,2020-01-18,nike,61.769999999999996,87
18,2020-01-19,nike,76.80000000000001,96
19,2020-01-20,nike,57.800000000000004,85
20,2020-01-21,nike,49.28,77
21,2020-01-22,nike,50.56,79
22,2020-01-23,nike,53.6,80
23,2020-01-24,nike,73.32000000000001,94
